ts_ns,cumPnL_Hawkes-full,tickPnL_Hawkes-full,cumPnL_Hawkes-self,tickPnL_Hawkes-self,cumPnL_EWMA-count,tickPnL_EWMA-count,cumPnL_RealVol,tickPnL_RealVol,cumPnL_EWMA-vol,tickPnL_EWMA-vol,cumPnL_Imbalance,tickPnL_Imbalance,cumPnL_TOD,tickPnL_TOD,cumPnL_Fixed,tickPnL_Fixed,cumPnL_Oracle,tickPnL_Oracle
1764611100000000000,5.888566519962552,5.888566519962552,9.273058636083746,9.273058636083746,5.671526129475593,5.671526129475593,6.411056085472025,6.411056085472025,4.491752965066953,4.491752965066953,7.374032611291514,7.374032611291514,4.923763677784537,4.923763677784537,5.500000000000016,5.500000000000016,5.5606531157553745,5.5606531157553745
1764611130000000000,14.124807191040903,8.23624067107835,22.23656949403204,12.963510857948291,12.577456379622252,6.905930250146658,12.25338389503456,5.8423278095625335,9.66958566887337,5.177832703806417,10.792333611033294,3.41830099974178,11.534065670924592,6.610301993140055,18.404999999999937,12.904999999999923,10.97860703892031,5.417953923164936
1764611160000000000,26.915524855142998,12.790717664102093,35.882329153695025,13.645759659662987,23.224907125556186,10.647450745933936,21.558343829721053,9.304959934686494,17.66832170034803,7.99873603147466,18.25182698056868,7.459493369535384,20.063904107760536,8.529838436835943,25.45499999999995,7.050000000000012,14.837917118882727,3.859310079962416
1764611190000000000,35.03156672101772,8.116041865874719,43.038195814061424,7.155866660366399,28.98843893759438,5.763531812038195,26.663948218823805,5.10560438910275,21.84603110366845,4.177709403320422,21.832414507440348,3.5805875268716663,24.754913646823304,4.691009539062769,32.14500000000002,6.690000000000067,18.42497783537502,3.5870607164922927
1764611220000000000,41.666659455630175,6.635092734612454,48.57250761096441,5.534311796902987,34.43618991512971,5.447750977535326,30.803887871477407,4.139939652653602,24.952811281930245,3.1067801782617948,27.604920385341917,5.772505877901568,28.52004059939041,3.7651269525671043,35.480000000000054,3.3350000000000373,22.054319658683127,3.6293418233081063
1764611250000000000,47.22768094556616,5.561021489935989,54.875878036278316,6.303370425313906,39.8092856823975,5.373095767267791,34.04064810302179,3.2367602315443786,28.16413693301093,3.211325651080683,31.749870308920983,4.144949923579066,32.18497670515718,3.664936105766773,38.25000000000006,2.7700000000000036,24.999696366293048,2.945376707609919
1764611280000000000,53.80671498348752,6.579034037921355,60.77451162604467,5.898633589766359,46.22314519691258,6.413859514515085,39.88136727993501,5.840719176913225,32.00963577700283,3.8454988439918956,38.587317742969354,6.837447434048373,36.676842906274025,4.491866201116842,41.75000000000004,3.4999999999999876,33.61589676299945,8.6162003967064
1764611310000000000,58.7160446957034,4.909329712215882,66.70646756678819,5.9319559407435225,50.99535181668428,4.772206619771692,46.640425880946786,6.759058601011776,34.8356201972959,2.825984420293074,42.7288149659595,4.141497222990145,40.30047752759543,3.623634621321404,46.97000000000001,5.219999999999968,40.639281245756095,7.023384482756648
1764611340000000000,62.7529776598668,4.036932964163402,71.55271693022303,4.846249363434837,55.4724337293953,4.4770819127110215,48.97614982040045,2.335723939453667,38.01148929514115,3.1758690978452497,45.39413523360527,2.665320267645765,43.839060234731775,3.5385827071363405,50.105000000000004,3.1349999999999874,46.45538030895069,5.816099063194593
1764611370000000000,66.9488962887902,4.195918628923396,77.14228996276779,5.589573032544756,59.809541811904374,4.337108082509073,53.43980811522383,4.463658294823385,41.85079876154882,3.839309466407668,50.51050742943427,5.116372195829003,47.97870924492503,4.139649010193251,53.28000000000002,3.1750000000000167,53.589599632553025,7.134219323602339
