inst,sh_Hfull,sh_Hfloor,sh_Hsel,sh_Hpull,sh_Hroll,sh_Hnorm,sh_Hcross,sh_Htod,sh_Hself,sh_EWMAc,sh_RVol,sh_EVol,sh_Imbel,sh_TOD,sh_Fixed,sh_Oracl,fill_H,fill_S,fill_E
AAPL,0.5608009326041968,0.5500059064765007,0.559972154536614,0.7458402459596831,0.5608009326041968,0.5937998893314013,0.505368806309938,0.4921494784433486,0.6238875820985842,0.573973064875615,0.5668557054008401,0.6150188915641673,0.5585404500099647,0.559972154536614,0.6528881820405937,0.8770562625869945,0.6388759055854172,0.8960037391913999,0.7706824024304744
AMGN,0.46623873267022065,0.47626120149124646,0.47626120149124646,0.31443507260593817,0.46623873267022065,0.3614230149512134,0.43547046830537445,0.32788498849235875,0.44178262983429145,0.48173469441140804,0.4416453075764242,0.15128937977406223,0.47306622874646537,0.3838847204100992,0.2774817169325773,0.5595911223801218,0.6585650853003038,0.6589156344940407,0.6942042533302173
AMZN,0.4076046255478864,0.45454505932987777,0.6203151748620301,0.551202173106143,0.4076046255478864,0.5589501865486766,0.4548876776035071,0.4586180299165464,0.39365138594236887,0.4439020533870729,0.44370906915572667,0.556950277265875,0.49871580718929914,0.6203151748620301,0.5200292757954659,0.8210411236288665,0.9044753447067072,0.8239074550128535,0.913706473475111
COST,0.31684920960816376,0.3404363854601744,0.3404363854601744,0.2939028325481394,0.2979282382375467,0.30087883801839105,0.37070528674822706,0.351081328169827,0.4615552118640192,0.2958151049442431,0.37811571770289193,0.20645482877865742,0.43330199193670677,0.4115193131949795,0.2828161972554002,0.5534737581895168,0.7082846459453144,0.7216055153073148,0.2726104229960271
CRM,0.29831373612985224,0.3307792872469184,0.3307792872469184,0.40585489715498463,0.3023688623900608,0.25010675222750633,0.30689431018776664,0.2776253110763048,0.32424858992381544,0.3218783819206155,0.41226760231641063,0.1792080521503683,0.46528205041271514,0.40341809946931223,0.3917360693067729,0.577338788340729,0.7883851367141855,0.7777518111708344,0.7776933863052115
CSCO,0.5147148890972608,0.699306748592248,0.699306748592248,0.8991722101228885,0.5161136558113779,0.5489257397047876,0.4725596702333948,0.47901628095440524,0.6697078588383981,0.5712939117003665,0.4649091624801887,0.4345283810915922,0.4599016226834161,0.5230385138932924,0.6978098866588404,0.6947521015480439,0.8965295629820051,0.9196073849030147,0.8362351016592662
GILD,0.35220332195156556,0.49117795318765656,0.49117795318765656,0.5256466672255313,0.38416550688063467,0.37359417347628626,0.3835694396805987,0.3238199726195859,0.351018879003216,0.44720399539405337,0.38594066622305895,0.12950450218089848,0.5038523274597706,0.46259426980308793,0.48562843568879005,0.5822867744321685,0.8631689647113812,0.8794695022201449,0.8159616732881514
INTC,0.45198981903101826,0.6146337180767841,0.6146337180767841,0.8581570034032612,0.43990933000807075,0.45022744893729894,0.4062089934079192,0.42527054221737615,0.7693808409332696,0.5529828008400931,0.4949003337200887,0.46134046426113007,0.45964102836623744,0.5711601377943523,0.7351150531367117,0.7334089655429006,0.8936667445664875,0.898399158681935,0.8336059827062398
ISRG,0.3622745060278227,0.4882906243158954,0.4882906243158954,0.463613829146213,0.4096942124826008,0.3850024778229087,0.3808592257962578,0.3836965044275748,0.4038745161945434,0.4053537745216455,0.41745728628509493,0.08512678558602886,0.4961150821769073,0.47922767596240834,0.4416664014579047,0.5621164212435557,0.7657747137181584,0.6962491236270156,0.7667679364337462
LCID,0.3436534724111928,0.49285331303334845,0.49285331303334845,0.6210964433250517,0.3436534724111928,0.314263143343478,0.3739997907725523,0.2895741073579655,0.42078023810375675,0.3676879755771507,0.329737324847066,0.09373872791462637,0.4794481818819628,0.4568907480647132,0.5868113804570043,0.582562570736421,0.743573264781491,0.792825426501519,0.7882682869829399
MSFT,0.4762704496108341,0.4748025882961632,0.5092859408127586,0.2982566250827524,0.4762704496108341,0.40816211950748876,0.20850723824929862,0.35189806019416786,0.5666137308889893,0.47987026002312755,0.5202204915495264,0.5406903263170986,0.48850771627427375,0.5092859408127586,0.3029150333965342,0.7459081929795299,0.5381514372516943,0.7742463192334658,0.5588338396821687
NVDA,0.4081195083412094,0.626356133675815,0.6979295877513766,0.9256500254295138,0.41355057667620665,0.5251884751826607,0.38240701475222744,0.47213265288753287,0.6045349653293157,0.42980184637566143,0.5328924541234145,0.5577747840673934,0.5360355395279073,0.6979295877513766,0.8630950811215747,0.8623065263814734,0.9463659733582612,0.968450572563683,0.9309418088338397
PEP,0.39274162914293764,0.41799931031370685,0.41799931031370685,0.6716478604377565,0.3907055749427524,0.4264500985091863,0.4420552265011816,0.41930099327347853,0.44264492168514796,0.40944477662504913,0.4872648372380583,0.2742675532323768,0.5349796808223839,0.5144316333722448,0.6122161046942569,0.6235027904049282,0.6359546623042767,0.6939705538677261,0.7174573498480954
RXRX,0.33393382103723734,0.44744692067964176,0.44744692067964176,0.5205709207629634,0.33393382103723734,0.28304684204065944,0.39876295257661876,0.320138858483543,0.47854237149969336,0.3086568349084088,0.2907557732043808,0.08718537296782242,0.47288869245826315,0.3848141198027071,0.4672354893348958,0.46645976102716497,0.6440172937602243,0.6656929189062866,0.7105047908389811
SBUX,0.4080883377269666,0.5007137477315868,0.5007137477315868,0.4606798496006492,0.4080883377269666,0.417813049583377,0.42264086405665596,0.4041340562199121,0.4007203177200038,0.4945504844884903,0.43088791250985153,0.27641057700372995,0.48032493124215553,0.483478975182147,0.4502179889509498,0.6543543524952649,0.8636363636363636,0.9011451273662071,0.8572680532834774
TSLA,0.49432813349165844,0.5121539801430703,0.7073540739631928,0.3651881053239765,0.5087574656066559,0.616709295348934,0.479286451755548,0.5317699590159143,0.5644798113848698,0.5472127491387951,0.556235309956815,0.6417016786944838,0.528347859073308,0.7073540739631928,0.3599771509482519,0.913135737425509,0.7925917270390278,0.8241411544753448,0.8747370881046974
WMT,0.5763892743008662,0.6447245508404164,0.6447245508404164,1.0918908991711211,0.5763892743008662,0.49371404815761594,0.4724176535337016,0.5272683833984477,0.6159081045282957,0.5386885638452348,0.5134079898266674,0.46923207251878113,0.5638075949338952,0.6021862260107596,0.8285116227568027,0.8235138605822694,0.8078990418322037,0.7949871465295629,0.6434330451039962
