policy_a,policy_b,sr_a,sr_b,delta,ci_lo,ci_hi,p_onesided
Hawkes-floor,TOD,0.8154111804292251,0.8163391089040956,-0.000927928474870443,-0.07140873510488624,0.07136959790955442,0.5046
Hawkes-select,TOD,0.8523599121852411,0.8163391089040956,0.03602080328114554,0.007003703765539307,0.06500335438539456,0.0049
Hawkes-floor,EWMA-count,0.8154111804292251,0.8109996112384564,0.004411569190768683,-0.053593867113919995,0.061215403089974904,0.4487
Hawkes-floor,RealVol,0.8154111804292251,0.858439721430094,-0.043028541000868836,-0.10579030449274927,0.013606888804312274,0.9116
Hawkes-floor,Hawkes-full,0.8154111804292251,0.7358637146252396,0.07954746580398553,0.06724011175097631,0.0936135777136651,0.0
TOD,EWMA-count,0.8163391089040956,0.8109996112384564,0.005339497665639126,-0.04530959057699241,0.061569086543828935,0.4171
