inst,k_hawkes,k_hawkes_norm,k_hawkes_self,k_ewma,k_rvol,k_evol,k_imbal,k_tod,tau_gate
AAPL,0.0019737948588157686,0.006795395920083764,0.000830736107491936,4.2743736432096545e-05,0.21655612406317545,0.09114472598521194,0.018270270041765378,0.006005144883981762,13.547744682885625
AMGN,0.05558613053440591,0.05558613053440591,0.03390012833314499,0.0022335377063851234,1.0803315190764666,0.27730201165910606,0.04912190125853851,0.04912190125853851,2.09838951480056
AMZN,0.0012037516980200696,0.007689640567018716,0.001063764854316312,3.338027673990301e-05,0.19137235207582545,0.07117852651001311,0.014267977510008571,0.0032364366763473562,14.472178725647433
COST,0.07117852651001311,0.13207036227366312,0.043409410945776605,0.006005144883981762,0.6588581861506815,0.2450539712794255,0.08054531205964922,0.07117852651001311,1.8886838212934298
CRM,0.02647395290480231,0.02995781034986427,0.018270270041765378,0.001063764854316312,0.7455610674814365,0.1691172544644807,0.02995781034986427,0.01614558150261835,2.934877650636027
CSCO,0.0019737948588157686,0.004689655486926543,0.0013621602035512731,7.931016603333043e-05,0.3137937543664821,0.1494502494606524,0.004689655486926543,0.0032364366763473562,4.838604158866485
GILD,0.006005144883981762,0.008701563933188907,0.0032364366763473562,0.0003496424550953133,0.582238167188866,0.10313897683787221,0.014267977510008571,0.008701563933188907,3.370756299795547
INTC,0.0012037516980200696,0.003662337713903369,0.0009400573782282974,4.2743736432096545e-05,0.2450539712794255,0.13207036227366312,0.004689655486926543,0.0032364366763473562,6.78650423665849
ISRG,0.08054531205964922,0.09114472598521194,0.08054531205964922,0.004144285481839415,1.0803315190764666,0.4546928455862411,0.09114472598521194,0.06290102436234453,1.9919808042240035
LCID,0.006795395920083764,0.003662337713903369,0.004144285481839415,0.00021323527981697614,0.6588581861506815,0.13207036227366312,0.004689655486926543,0.0032364366763473562,1.519791702591362
MSFT,0.006795395920083764,0.018270270041765378,0.0028600645757603915,0.00018843769586593097,0.40181564806038084,0.10313897683787221,0.03836123827417535,0.012608724076806795,10.374250568484854
NVDA,0.0001665238756632532,0.002527461586781727,0.0001665238756632532,4.080733704412147e-06,0.09114472598521194,0.023395240647448256,0.014267977510008571,0.0032364366763473562,38.332308616655446
PEP,0.008701563933188907,0.006005144883981762,0.004689655486926543,0.00024129611832536096,0.4546928455862411,0.13207036227366312,0.014267977510008571,0.006005144883981762,2.8157768715302254
RXRX,0.008701563933188907,0.0028600645757603915,0.006795395920083764,0.0001665238756632532,1.5654199796841295,0.582238167188866,0.004689655486926543,0.0032364366763473562,1.4877861886781882
SBUX,0.0032364366763473562,0.005306793820656121,0.0017442580591096614,0.0001300450900512898,0.40181564806038084,0.1691172544644807,0.00984665202794123,0.0032364366763473562,2.897644191207185
TSLA,0.0015414145817536453,0.01614558150261835,0.001063764854316312,3.338027673990301e-05,0.13207036227366312,0.06290102436234453,0.043409410945776605,0.00984665202794123,31.409680830718308
WMT,0.0028600645757603915,0.004144285481839415,0.0019737948588157686,0.00011492187010036997,0.40181564806038084,0.1691172544644807,0.008701563933188907,0.0032364366763473562,3.986225522133859
