date,policy,total_pnl,sharpe,fill_rate,win_rate,n_ticks
2025-12-01,Hawkes-full,5645.688725825026,0.8000631410851105,0.9910025706940874,0.9897172236503856,778
2025-12-01,Hawkes-floor,6864.894655528187,0.922261917659102,0.9910025706940874,0.9910025706940874,778
2025-12-01,Hawkes-select,7437.565989664531,0.9097295010812894,1.0,1.0,778
2025-12-01,Hawkes-pull,7895.805,0.8070774022684685,0.9948586118251928,0.9948586118251928,778
2025-12-01,Hawkes-rolling,5645.688725825026,0.8000631410851105,0.9910025706940874,0.9897172236503856,778
2025-12-01,Hawkes-norm,5711.641989227358,0.952429356954707,1.0,1.0,778
2025-12-01,Hawkes-cross,4083.2139808464544,0.9559984870290127,0.9845758354755784,0.9820051413881749,778
2025-12-01,Hawkes-TOD,5831.982816615169,0.8099483103390201,1.0,1.0,778
2025-12-01,Hawkes-self,6894.669273750762,0.8341422243454332,0.9948586118251928,0.9948586118251928,778
2025-12-01,EWMA-count,6082.339349820523,0.8262530937301542,1.0,1.0,778
2025-12-01,RealVol,6413.77323921068,0.7862651528005125,1.0,1.0,778
2025-12-01,EWMA-vol,5564.131998116856,0.8031077231296073,1.0,0.9974293059125964,778
2025-12-01,Imbalance,5458.550663367513,0.9598874833999782,1.0,1.0,778
2025-12-01,TOD,7586.310462248766,0.8734670411251146,1.0,1.0,778
2025-12-01,Fixed,8510.775000000001,0.7399632793077615,1.0,1.0,778
2025-12-01,Oracle,8346.53307068838,1.1996975828321148,1.0,1.0,778
2025-12-02,Hawkes-full,6918.943855432029,0.8536843891440905,0.9948586118251928,0.993573264781491,778
2025-12-02,Hawkes-floor,8050.384788716398,0.9340120358827996,0.9948586118251928,0.9948586118251928,778
2025-12-02,Hawkes-select,8796.471691389512,0.9164875192453051,1.0,1.0,778
2025-12-02,Hawkes-pull,8868.484999999997,0.8900610826449129,1.0,1.0,778
2025-12-02,Hawkes-rolling,7000.818718475795,0.8513740177275368,0.9948586118251928,0.993573264781491,778
2025-12-02,Hawkes-norm,7671.891398025982,0.9671991397539126,1.0,1.0,778
2025-12-02,Hawkes-cross,5121.859345103221,0.8614745738315108,0.9704370179948586,0.9652956298200515,778
2025-12-02,Hawkes-TOD,7213.191744187407,0.8568184843883012,1.0,1.0,778
2025-12-02,Hawkes-self,8613.63609543796,1.0018160642528857,1.0,1.0,778
2025-12-02,EWMA-count,7754.1840036093845,0.9214224835924907,1.0,1.0,778
2025-12-02,RealVol,7251.2461016052475,0.9865210751106865,1.0,1.0,778
2025-12-02,EWMA-vol,7113.570210712523,0.9274032140079109,1.0,0.9974293059125964,778
2025-12-02,Imbalance,6812.582915858447,0.9626077807061506,1.0,1.0,778
2025-12-02,TOD,9095.488385974937,0.899770995041487,1.0,1.0,778
2025-12-02,Fixed,10344.429999999998,0.8183704587332106,1.0,1.0,778
2025-12-02,Oracle,10143.64423776141,1.2756772209749239,1.0,1.0,778
2025-12-03,Hawkes-full,5299.124595619269,0.6168702872883224,0.9884318766066839,0.987146529562982,778
2025-12-03,Hawkes-floor,6338.318455657331,0.6994634555993346,0.9884318766066839,0.9884318766066839,778
2025-12-03,Hawkes-select,11056.943597367237,0.799636503697236,1.0,1.0,778
2025-12-03,Hawkes-pull,7862.735000000001,0.6075983257254486,0.9987146529562982,0.9987146529562982,778
2025-12-03,Hawkes-rolling,5381.898106339205,0.6248295062454389,0.9884318766066839,0.987146529562982,778
2025-12-03,Hawkes-norm,7765.569423175588,0.5947366142668781,1.0,1.0,778
2025-12-03,Hawkes-cross,5407.975689696512,0.4343403864158653,0.9845758354755784,0.9832904884318766,778
2025-12-03,Hawkes-TOD,7787.476159942092,0.5819256759827511,1.0,1.0,778
2025-12-03,Hawkes-self,6799.895234142987,0.645880572875266,0.993573264781491,0.993573264781491,778
2025-12-03,EWMA-count,6235.407720907844,0.6841688520827466,1.0,1.0,778
2025-12-03,RealVol,7226.829613519279,0.8585719737555265,0.9987146529562982,0.9987146529562982,778
2025-12-03,EWMA-vol,7931.007870564399,0.7264089490571392,1.0,0.9974293059125964,778
2025-12-03,Imbalance,8176.665197153241,0.7559291735327568,1.0,1.0,778
2025-12-03,TOD,11420.831299266425,0.7686100948485413,1.0,1.0,778
2025-12-03,Fixed,10561.475000000002,0.5727409547869743,1.0,1.0,778
2025-12-03,Oracle,11890.773970985927,1.1484392938547834,1.0,1.0,778
2025-12-04,Hawkes-full,5870.672101718054,1.071765828271675,0.9974293059125964,0.9961439588688946,778
2025-12-04,Hawkes-floor,6702.368051886793,1.080203994243169,0.9974293059125964,0.9974293059125964,778
2025-12-04,Hawkes-select,8751.122042819774,0.923456407500735,1.0,1.0,778
2025-12-04,Hawkes-pull,7833.845,0.7735288342397033,0.9987146529562982,0.9987146529562982,778
2025-12-04,Hawkes-rolling,6199.609192579109,0.9763670022806695,0.9974293059125964,0.9961439588688946,778
2025-12-04,Hawkes-norm,7458.910754909673,0.7539091076900492,1.0,1.0,778
2025-12-04,Hawkes-cross,4905.644559371878,0.9329071373117874,0.9910025706940874,0.9884318766066839,778
2025-12-04,Hawkes-TOD,7057.110707516598,0.7046382279619922,1.0,1.0,778
2025-12-04,Hawkes-self,8318.575893615114,0.8809041760014993,0.9974293059125964,0.9974293059125964,778
2025-12-04,EWMA-count,5257.5596566351605,1.151169177844537,1.0,1.0,778
2025-12-04,RealVol,6983.055662680396,1.1687486046700288,1.0,1.0,778
2025-12-04,EWMA-vol,7981.732918525104,0.781757104022375,1.0,0.9974293059125964,778
2025-12-04,Imbalance,7435.886650603583,0.8939265097438812,1.0,1.0,778
2025-12-04,TOD,9860.988905781998,0.8295149786030428,1.0,1.0,778
2025-12-04,Fixed,10006.280000000002,0.626120048899519,1.0,1.0,778
2025-12-04,Oracle,10562.802454604149,1.378179717978796,1.0,1.0,778
2025-12-05,Hawkes-full,4893.756418847823,0.9462449383665468,0.9858611825192802,0.9845758354755784,778
2025-12-05,Hawkes-floor,5758.015591246502,0.9777946604671028,0.9858611825192802,0.9858611825192802,778
2025-12-05,Hawkes-select,7584.276295864773,0.8992478889397255,1.0,1.0,778
2025-12-05,Hawkes-pull,6415.695000000003,0.7341851307691553,0.9987146529562982,0.9987146529562982,778
2025-12-05,Hawkes-rolling,5241.1534725623,0.8284960339158335,0.9858611825192802,0.9845758354755784,778
2025-12-05,Hawkes-norm,6089.328884582812,0.7913083706499822,1.0,1.0,778
2025-12-05,Hawkes-cross,4151.618055224008,1.051562303998612,0.9897172236503856,0.9884318766066839,778
2025-12-05,Hawkes-TOD,5962.785488227912,0.7608689039757106,1.0,1.0,778
2025-12-05,Hawkes-self,6663.98912998669,0.9422414557126874,0.9961439588688946,0.9961439588688946,778
2025-12-05,EWMA-count,5107.248511814823,1.1168517144969423,1.0,1.0,778
2025-12-05,RealVol,6094.259423754416,0.8934622778180848,1.0,1.0,778
2025-12-05,EWMA-vol,6278.514136829885,0.8278236925087668,1.0,0.9974293059125964,778
2025-12-05,Imbalance,5671.48517783379,0.9222266132732806,1.0,1.0,778
2025-12-05,TOD,8057.925056527081,0.8448687200891001,1.0,1.0,778
2025-12-05,Fixed,7381.590000000003,0.6526038964237848,1.0,1.0,778
2025-12-05,Oracle,9417.947276423785,1.2883572540118735,1.0,1.0,778
2025-12-08,Hawkes-full,6739.966277109975,1.0420064131316786,0.9948586118251928,0.993573264781491,778
