tc_per_share,tc_bps_at_100,sr_select,sr_tod,delta,ci_lo,ci_hi,p_onesided
0.0,0.0,0.8523599121852411,0.8163391089040956,0.03602080328114554,0.007003703765539307,0.06500335438539456,0.0049
0.0005,5.0,0.8312474398085005,0.7966264185615884,0.03462102124691202,0.005372471392942943,0.06361229844043212,0.0076
0.001,10.0,0.8078775509862954,0.77471126986718,0.03316628111911546,0.003720490861979534,0.062109102035454396,0.011
0.002,20.0,0.752954134703776,0.72281534494363,0.030138789760146056,0.0005153765508877479,0.05885650040307121,0.0185
0.005,50.0,0.48323893238800153,0.46034092882960437,0.022898003558397162,-0.0013626351197763673,0.04683371025447319,0.0279
