date,inst,policy,total_pnl,fill_rate,total_fills,n_ticks
2025-12-01,AAPL,sel,2.7,0.8136246786632391,956.0,778
2025-12-01,AAPL,tod,2.7,0.8136246786632391,956.0,778
2025-12-01,AAPL,fix,0.7850000000000001,0.8187660668380463,923.0,778
2025-12-01,AAPL,qjn,0.5999999999999999,0.8187660668380463,899.0,778
2025-12-01,AAPL,hgt,1.01,0.8020565552699229,877.0,778
2025-12-01,AAPL,hmin,2.455,0.8136246786632391,963.0,778
2025-12-01,AAPL,hfg,1.3800000000000003,0.800771208226221,901.0,778
2025-12-01,AAPL,htg,3.415,0.794344473007712,933.0,778
2025-12-01,AAPL,hinv,1.4000000000000004,0.8059125964010283,999.0,778
2025-12-01,AAPL,hfixfl,0.8600000000000002,0.8136246786632391,894.0,778
2025-12-02,AAPL,sel,2.6450000000000005,0.8071979434447301,979.0,778
2025-12-02,AAPL,tod,2.6450000000000005,0.8071979434447301,979.0,778
2025-12-02,AAPL,fix,2.7700000000000005,0.8123393316195373,949.0,778
2025-12-02,AAPL,qjn,1.145000000000001,0.8071979434447301,914.0,778
2025-12-02,AAPL,hgt,0.8050000000000008,0.7789203084832905,883.0,778
2025-12-02,AAPL,hmin,2.2350000000000003,0.8046272493573264,981.0,778
2025-12-02,AAPL,hfg,3.14,0.7840616966580977,916.0,778
2025-12-02,AAPL,htg,3.015000000000001,0.7789203084832905,946.0,778
2025-12-02,AAPL,hinv,4.045,0.8046272493573264,1007.0,778
2025-12-02,AAPL,hfixfl,0.6750000000000003,0.8110539845758354,908.0,778
2025-12-03,AAPL,sel,1.9450000000000005,0.7969151670951157,960.0,778
2025-12-03,AAPL,tod,1.9450000000000005,0.7969151670951157,960.0,778
2025-12-03,AAPL,fix,2.0750000000000006,0.8020565552699229,923.0,778
2025-12-03,AAPL,qjn,2.5600000000000014,0.7904884318766067,897.0,778
2025-12-03,AAPL,hgt,1.4550000000000003,0.7622107969151671,863.0,778
2025-12-03,AAPL,hmin,2.125,0.7956298200514139,958.0,778
2025-12-03,AAPL,hfg,-0.0199999999999992,0.7763496143958869,892.0,778
2025-12-03,AAPL,htg,-0.1499999999999997,0.7712082262210797,929.0,778
2025-12-03,AAPL,hinv,2.04,0.8059125964010283,994.0,778
2025-12-03,AAPL,hfixfl,2.12,0.7917737789203085,899.0,778
2025-12-04,AAPL,sel,3.4500000000000006,0.8033419023136247,982.0,778
2025-12-04,AAPL,tod,3.4500000000000006,0.8033419023136247,982.0,778
2025-12-04,AAPL,fix,2.5800000000000005,0.8071979434447301,963.0,778
2025-12-04,AAPL,qjn,3.2600000000000007,0.8071979434447301,955.0,778
2025-12-04,AAPL,hgt,1.9500000000000008,0.781491002570694,923.0,778
2025-12-04,AAPL,hmin,3.5100000000000007,0.8020565552699229,982.0,778
2025-12-04,AAPL,hfg,2.120000000000001,0.7840616966580977,934.0,778
2025-12-04,AAPL,htg,2.9900000000000007,0.7802056555269923,953.0,778
2025-12-04,AAPL,hinv,4.525,0.8059125964010283,1001.0,778
2025-12-04,AAPL,hfixfl,4.3950000000000005,0.8059125964010283,954.0,778
2025-12-05,AAPL,sel,2.1500000000000004,0.7596401028277635,903.0,778
2025-12-05,AAPL,tod,2.1500000000000004,0.7596401028277635,903.0,778
2025-12-05,AAPL,fix,2.595,0.7455012853470437,868.0,778
