inst,sh_Hfull,sh_Hfloor,sh_Hsel,sh_Hpull,sh_Hroll,sh_Hnorm,sh_Hcross,sh_Htod,sh_Hself,sh_EWMAc,sh_RVol,sh_EVol,sh_Imbel,sh_TOD,sh_Fixed,sh_Oracl,fill_H,fill_S,fill_E
AAPL,0.5413121783820565,0.5430667365726402,0.6547098311951445,0.7123760934708339,0.5413121783820565,0.5365054846444637,0.45251826895271113,0.4250511561305486,0.5073930586272262,0.5348048685266542,0.5065193941010825,0.5912333554060557,0.5380874403111576,0.6547098311951445,0.6193561696112205,0.8404705209019272,0.5767702734283711,0.7348095349380697,0.49129469502220147
AMGN,0.3910419451046618,0.4179177480061296,0.4179177480061296,0.3001252831600669,0.4347442026181948,0.38825913389980016,0.41652653248814986,0.31331496067158254,0.41019514088430126,0.40804642157463283,0.42140168712585513,0.15216485127816323,0.46395845811157177,0.4005663159871989,0.2688468422678754,0.5443282276462725,0.5088221547090441,0.6461205889226455,0.5546856742229492
AMZN,0.4159833246123123,0.45569042679061555,0.6047631516957505,0.5386337053614705,0.4159833246123123,0.5231584155092425,0.42256624237630175,0.40684598456230797,0.3922433662457016,0.47136021129722366,0.3504111679599307,0.5185572347147458,0.4647069098972464,0.6047631516957505,0.4806421312326335,0.8074049478318243,0.8598971722365039,0.9041832203785931,0.8282893199345641
COST,0.31917653440913707,0.34933077552536673,0.34933077552536673,0.29610993503895666,0.29969066947707046,0.3394759608230382,0.2523248709872222,0.3259547333467295,0.38599944571621503,0.2819504486564818,0.3643750562663946,0.20573587193659645,0.43600208752157965,0.43789533127757685,0.2535716350640805,0.5729530309982264,0.7162304276700163,0.7082262210796915,0.24696190698761392
CRM,0.20453695560534876,0.22902186042903241,0.22902186042903241,0.4001820758885659,0.22383208634529322,0.24536416092432992,0.31471849573626576,0.23821686256897973,0.2067855863877534,0.2237611523862421,0.34316781052927137,0.17376138337069372,0.4594743934362496,0.39484507989103435,0.3840477281448397,0.5611874339804264,0.7505258237906053,0.800771208226221,0.782133676092545
CSCO,0.48416493263269433,0.6650227388596529,0.6650227388596529,0.8620412224328933,0.5006711322553428,0.5169488121703524,0.47506674834843626,0.4474728276954594,0.43147910035951337,0.6455616849889336,0.4500189031112083,0.42837204743969715,0.5590006065742192,0.5507408764343683,0.7286410120977003,0.7259031279158635,0.8527693386305212,0.903598971722365,0.7502921243281141
GILD,0.34630372196534037,0.44725873640381175,0.44725873640381175,0.5213322050512764,0.34630372196534037,0.3633660194402414,0.38723040086426713,0.3152455145368677,0.3133437747977166,0.38646423093113497,0.348615660509923,0.13101367987492823,0.5041120403232672,0.48803025989369364,0.48122750722310526,0.5668326041065083,0.7928838513671419,0.8423112876840383,0.7800888057957467
INTC,0.4300709384874039,0.5936079161129811,0.5936079161129811,0.8244504977377495,0.447905430912821,0.4271981904583293,0.4059713111771737,0.44631896752177364,0.7790749525464539,0.5271131390909959,0.48817158240292485,0.44250762882476957,0.46313105853208697,0.556662068996142,0.7117161366266112,0.710225917111873,0.8506660434681,0.8438303341902313,0.791306379995326
ISRG,0.3729343564728802,0.463670534120276,0.463670534120276,0.4347869685836091,0.3729343564728802,0.3866385721888494,0.38887486705829943,0.35447197040283795,0.34457060666727607,0.40066422918155087,0.4095306796526785,0.08251381839728564,0.5012095848192415,0.46771707922146954,0.41317095630215095,0.5585707234335684,0.7026174339799018,0.6841551764430942,0.6883617667679365
LCID,0.2971212467089968,0.476100128638517,0.476100128638517,0.5950426804171334,0.3035729989610698,0.2973479398993275,0.37795901394601783,0.2683479309971671,0.34039540918278616,0.34701590884603933,0.31106126763214564,0.07860142204545618,0.4683245509951571,0.44908515762154966,0.5734485802716738,0.5694566494732909,0.7306613694788502,0.7612759990652022,0.7382566020098154
