tc_per_share,tc_bps_at_100,sr_select,sr_tod,delta,ci_lo,ci_hi,p_onesided
0.0,0.0,0.8239595638660091,0.7856837111702858,0.03827585269572331,0.013859806222077884,0.0637653600663711,0.0004
0.0005,5.0,0.800164208578661,0.763176420261761,0.03698778831689997,0.012455568491651687,0.062235620504769516,0.0006
0.001,10.0,0.7733740273227641,0.737774083861946,0.03559994346081807,0.010999587204412372,0.06060626599588208,0.0009
0.002,20.0,0.7085614303711503,0.6760068186264121,0.03255461174473817,0.008412313561379715,0.05674572291558496,0.0017
0.005,50.0,0.3560937271723534,0.330088080508414,0.026005646663939397,0.013162917786475723,0.04053202233805245,0.0002
