policy_a,policy_b,sr_a,sr_b,delta,ci_lo,ci_hi,p_onesided
Hawkes-floor,TOD,0.8036915549338461,0.7856837111702858,0.01800784376356035,-0.05373166103350704,0.09869775014475038,0.3162
Hawkes-select,TOD,0.8239595638660091,0.7856837111702858,0.03827585269572331,0.013859806222077884,0.0637653600663711,0.0004
Hawkes-floor,EWMA-count,0.8036915549338461,0.8261517353144732,-0.022460180380627026,-0.10557833604786744,0.05587708845188914,0.7156
Hawkes-floor,RealVol,0.8036915549338461,0.8264787306264653,-0.02278717569261912,-0.11096919533656249,0.0601674864698007,0.7035
Hawkes-floor,Hawkes-full,0.8036915549338461,0.7153866366537286,0.08830491828011755,0.0698269393241851,0.10936876071903805,0.0
TOD,EWMA-count,0.7856837111702858,0.8261517353144732,-0.040468024144187376,-0.11275874449527126,0.030114007567494147,0.8668
